,ann_return,ann_vol,sharpe,sector
NVDA,0.6765,0.5423,1.2475,Tech
NUE,0.4034,0.4317,0.9346,Materials
ABBV,0.2139,0.2503,0.8543,Healthcare
AMD,0.4185,0.5355,0.7815,Tech
TMUS,0.223,0.2942,0.758,Comm
CAT,0.2506,0.3393,0.7384,Industrials
MS,0.2486,0.3775,0.6585,Financials
PSA,0.1736,0.276,0.629,RealEstate
COP,0.2991,0.4803,0.6228,Energy
GS,0.2099,0.3472,0.6045,Financials
SHW,0.1837,0.3187,0.5764,Materials
ADBE,0.2234,0.3942,0.5667,Tech
XOM,0.2079,0.3723,0.5583,Energy
QCOM,0.2346,0.4227,0.555,Tech
PLD,0.183,0.3312,0.5525,RealEstate
GE,0.2244,0.4134,0.5429,Industrials
OXY,0.3523,0.6921,0.5091,Energy
UPS,0.1538,0.3107,0.4951,Industrials
GILD,0.1305,0.2658,0.4908,Healthcare
WMT,0.1144,0.2361,0.4844,Consumer
MRK,0.1149,0.2409,0.4769,Healthcare
CVX,0.172,0.3861,0.4454,Energy
SLB,0.2294,0.5319,0.4313,Energy
V,0.1294,0.3002,0.431,Financials
AMGN,0.1108,0.2632,0.4212,Healthcare
ABT,0.1147,0.2783,0.4121,Healthcare
SO,0.1094,0.285,0.3839,Utilities
EA,0.1037,0.2766,0.3748,Comm
TTWO,0.1371,0.3673,0.3733,Comm
DD,0.1319,0.3583,0.3681,Materials
DUK,0.0935,0.2632,0.3551,Utilities
DOW,0.134,0.3897,0.3439,Materials
KO,0.0738,0.2237,0.3301,Consumer
SBUX,0.093,0.3309,0.2811,Consumer
NKE,0.088,0.3545,0.2481,Consumer
NEM,0.0901,0.3677,0.245,Materials
NEE,0.0767,0.3155,0.243,Utilities
WFC,0.0902,0.4132,0.2183,Financials
CMCSA,0.0594,0.297,0.2,Comm
AMT,0.061,0.3191,0.1913,RealEstate
O,0.0558,0.339,0.1646,RealEstate
BA,0.0884,0.5449,0.1622,Industrials
INTC,0.0657,0.4126,0.1593,Tech
AEP,0.0344,0.2616,0.1315,Utilities
USB,0.0464,0.4056,0.1143,Financials
CCI,0.0355,0.3132,0.1132,RealEstate
T,-0.0208,0.2794,-0.0745,Comm
MMM,-0.0426,0.284,-0.1498,Industrials
DIS,-0.0598,0.3572,-0.1674,Consumer
D,-0.0543,0.2957,-0.1834,Utilities
